feature,importance_mean,importance_std
year_num,812.6359090412676,94.22536118657894
vehicle_age,686.126917909555,88.37300927975566
log_mileage,536.1123398628686,56.82327223224477
city,530.1177125461061,76.18471004873427
mileage_num,461.6982080839998,64.72235210557525
seller_type,293.20682736781106,75.70439933076962
cylinders,274.64240895084765,38.307546165703656
make,186.1657978984203,28.30452961637244
condition,153.11146790258874,32.432604773144796
type,145.25274661289976,29.430922341308563
fuel,104.44359469118123,19.205672492625162
model,87.41367119266894,33.76007966635638
drive,77.38807010420241,19.46659861170257
state,26.71880887079745,11.196192434875993
zip_prefix,23.671572551042786,18.85844642327857
title_status,2.4253192047278086e-13,5.720103904154168e-13
transmission,-1.6028700791136241,2.9031956830198213
