feature,importance_mean,importance_std
vehicle_age,673.1016807269573,104.13500613428454
condition,638.5935858298625,115.55501515061546
model,603.7613861233161,98.21138460500747
log_mileage,489.63718852629296,69.37405723253612
make,341.81976403627306,54.917562513379586
city,334.47385921744865,43.955279683478075
cylinders,203.40783165424136,32.26372838690361
fuel,186.56796565728908,30.55305749150389
seller_type,98.37005045953543,49.42013477594855
type,94.91625265745682,26.575282001941115
drive,86.6129382321142,24.34496856725812
state,3.4845770205736697,4.696904400462125
zip_prefix,1.1316813432677009,3.0003907117837825
title_status,4.244308608273665e-13,3.091687487899608e-13
transmission,-2.92642630897141,11.427436692662017
