feature,importance_mean,importance_std
year_num,812.6359090412683,94.22536118657851
vehicle_age,686.1269179095563,88.37300927975558
log_mileage,536.1123398628694,56.823272232244506
city,530.1177125461073,76.18471004873436
mileage_num,461.6982080840005,64.72235210557518
seller_type,293.206827367812,75.70439933076949
cylinders,274.6424089508486,38.307546165703855
make,186.1657978984213,28.304529616372154
condition,153.11146790258954,32.43260477314463
type,145.25274661290052,29.430922341308538
fuel,104.44359469118199,19.205672492625496
model,87.41367119267001,33.760079666356155
drive,77.38807010420278,19.466598611702675
state,26.71880887079842,11.19619243487607
zip_prefix,23.671572551043937,18.858446423278842
title_status,8.185452315956354e-13,5.799886054382717e-13
transmission,-1.6028700791128054,2.903195683019969
