feature,importance_mean,importance_std
vehicle_age,853.0327930227483,80.10965543289912
condition,705.7602684345491,110.15715242882509
log_mileage,639.617120310216,63.87580530940707
make,460.472749471381,65.12284674292133
model,323.50689092392446,84.20514670476938
city,253.03046728235458,57.83489070020119
fuel,219.3084969338358,43.820473713117096
type,171.37736824591568,45.26277579844341
drive,60.94849778190152,30.472833860874225
cylinders,51.85168302174164,10.732810966841702
seller_type,3.948261748185663,4.9120400824126005
state,1.4880830597456831,1.38288078059197
title_status,-1.2126596023639042e-12,5.423178608907109e-13
zip_prefix,-1.2732925824820995e-12,7.275957614183426e-13
transmission,-11.746485444001943,6.4844403612375086
