feature,importance_mean,importance_std
year_num,812.6359090412684,94.2253611865787
vehicle_age,686.1269179095563,88.37300927975556
log_mileage,536.1123398628692,56.82327223224468
city,530.1177125461074,76.18471004873416
mileage_num,461.6982080840006,64.72235210557515
seller_type,293.206827367812,75.70439933076976
cylinders,274.6424089508485,38.307546165703705
make,186.16579789842112,28.304529616372353
condition,153.11146790258945,32.43260477314487
type,145.25274661290072,29.430922341308708
fuel,104.44359469118223,19.205672492625546
model,87.41367119266988,33.76007966635598
drive,77.38807010420287,19.4665986117027
state,26.718808870798117,11.196192434876048
zip_prefix,23.671572551043784,18.85844642327887
title_status,9.701276818911234e-13,3.6631554314209914e-13
transmission,-1.6028700791129267,2.9031956830198724
