feature,importance_mean,importance_std
vehicle_age,2008.1562668940392,143.15302681494362
log_mileage,1322.9914977149126,131.70420967721293
model,529.9839786342354,108.04482239094023
condition,509.08754217735407,90.71174832722667
type,507.4330852431844,99.85730904217621
seller_type,464.732733541758,97.92148610150491
cylinders,361.0082674093203,73.02953227162656
fuel,271.94461171464906,59.66925345384769
city,222.67327258742756,78.43594536424668
drive,179.5507080047971,44.488751837012856
year_num,132.88402706048836,24.323109038553568
make,92.37342107357244,45.65966986510083
state,35.8746683354424,13.001293683881752
transmission,8.298177066750819,4.677835427928294
title_status,0.0,0.0
zip_prefix,0.0,0.0
mileage_num,0.0,0.0
