feature,importance_mean,importance_std
year_num,693.5359040153461,153.06776605889164
vehicle_age,622.8983750278549,156.89131834593022
log_mileage,317.441768081556,128.84180884949518
city,277.2606069306754,183.34202786389
cylinders,264.68288693207853,79.50975779651306
mileage_num,226.78909274945954,119.98796311230271
seller_type,208.04579886598424,54.196560324931454
condition,150.10845287992976,51.762262768778214
type,90.48555310234275,53.18794714686068
drive,70.28826413540997,31.64730071645335
make,64.99326861550553,90.74250624999954
model,17.522962242251893,48.598759881204295
transmission,5.184568896722582,3.6826631772335805
fuel,0.04744977299269522,11.920774835949851
state,8.185452315956354e-13,7.823769253302659e-13
title_status,6.366462912410497e-13,7.199767476800187e-13
zip_prefix,3.637978807091713e-13,1.1408027131878517e-12
