feature,importance_mean,importance_std
year_num,1854.8104566466266,161.7010478488587
mileage_num,1104.9402282568549,111.6447740784014
type,416.9107675903484,96.19524072768685
city,330.3716594674998,63.30494372843651
cylinders,281.10464621570924,71.59761105953876
condition,190.24182703157072,58.49578039064334
model,174.65191026995436,71.75365509331253
seller_type,153.30312379861945,38.77302614710737
fuel,145.14883538119238,50.11275487711272
drive,136.721724925992,57.58963955229893
make,60.25597721898767,32.1608571522203
state,31.995156754582634,7.68144432416121
transmission,0.886056477155671,7.817925677697347
title_status,0.0,0.0
zip_prefix,0.0,0.0
