feature,importance_mean,importance_std
year_num,723.6404308922279,83.49365742861107
vehicle_age,607.9016828815192,74.35396476229636
mileage_num,482.04462631427435,65.71291153381047
log_mileage,351.8506421247929,50.15541892749331
city,263.3793583017049,63.28370718350175
seller_type,245.28117060117833,49.754406049499
cylinders,180.00578268018205,58.420696087893226
make,168.39053934508394,33.547146846496936
condition,148.84678010996006,45.728030885133
type,121.08237516560627,38.181457102891386
fuel,96.87000177301712,31.51948516902344
drive,50.96441900900421,35.0226017386568
model,45.72148346062101,26.385859180990433
state,6.233887815466672,1.4217081748700908
title_status,0.020834383425608394,0.10589517078260559
transmission,-26.07467909738922,8.290484129284808
zip_prefix,-61.59904403385754,9.862687727558734
