feature,importance_mean,importance_std
year_num,812.6359090412675,94.22536118657878
vehicle_age,686.1269179095553,88.3730092797556
log_mileage,536.1123398628685,56.82327223224464
city,530.1177125461062,76.18471004873436
mileage_num,461.6982080839998,64.72235210557515
seller_type,293.2068273678112,75.70439933076989
cylinders,274.6424089508478,38.30754616570394
make,186.16579789842032,28.304529616372072
condition,153.111467902589,32.432604773144675
type,145.25274661289993,29.430922341308616
fuel,104.44359469118118,19.20567249262557
model,87.41367119266906,33.76007966635632
drive,77.38807010420238,19.466598611702597
state,26.71880887079745,11.196192434875972
zip_prefix,23.671572551042875,18.858446423278856
title_status,-1.5158245029548803e-13,4.597723360379284e-13
transmission,-1.602870079114109,2.903195683020361
