feature,importance_mean,importance_std
mileage_num,1371.5976420002532,200.6744374688533
log_mileage,850.784921168509,161.5233894168857
vehicle_age,533.6806087332983,137.41087242036298
year_num,455.28849885020134,110.63379571664039
city,264.37549230253876,110.40860534514303
type,225.49559680729448,106.8001574997697
fuel,188.05112508485132,56.27481034503678
cylinders,99.22131664825913,57.526488753086326
make,51.1141499098491,65.96965451856735
drive,34.8630550653507,49.3418326652767
zip_prefix,29.191366431508687,22.187128614691044
seller_type,-3.937538510793638,91.89082538087173
state,-4.860699974751394,11.738088341448618
title_status,-5.878840766283732,13.153725945083817
model,-15.89999449594555,24.570749122248415
transmission,-95.74792402067894,47.58283083769815
condition,-105.66396808737785,67.32267436337547
