feature,importance_mean,importance_std
city,753.8901875981284,119.75712220973564
vehicle_age,753.3269444268227,152.16162182915593
condition,553.962101203668,138.85518466387305
log_mileage,440.0365530164854,68.32841789141315
model,414.0928326481132,111.30555088993103
seller_type,351.24989642389266,172.0886237536454
make,268.85459493516186,69.42612959562912
cylinders,268.47752013821906,72.20102446624918
fuel,165.67967438094814,39.60786217108146
drive,133.3146224920573,27.945597539465936
type,96.65926859020962,50.39113761810736
zip_prefix,8.462391782809906,27.491388269580266
title_status,-5.456968210637569e-13,5.303219854654618e-13
state,-5.15413740370271,3.464950458707801
transmission,-9.203388545503154,10.88205710596923
