feature,importance_mean,importance_std
vehicle_age,1620.1504698470376,130.1788906481019
log_mileage,808.0827930461413,106.33232653295728
condition,260.1161580208535,44.10079196176709
city,240.9037592086838,64.89738131400341
cylinders,229.60561682404582,49.36894382936543
make,213.31536847797088,44.00138798878954
fuel,136.89427392775363,29.757360685279384
model,113.47145223365087,24.954077308217666
type,87.14062411306416,17.565486699018795
seller_type,77.24601504637988,29.43091469761666
drive,46.73857208923676,9.209019292086685
state,12.812766478477199,4.544044188737743
zip_prefix,7.698156354792385,2.8163431168901796
title_status,2.7284841053187846e-13,3.6379788070917126e-13
transmission,-0.6487985742075276,2.6501796343571136
