feature,importance_mean,importance_std
mileage_num,1069.2502709832145,130.3442385954611
log_mileage,1024.1569808153483,119.4979005620402
vehicle_age,692.1718225419675,104.08241788144696
year_num,629.5299784172672,87.37959609168946
make,244.94140287769878,43.4133249891617
condition,244.73054916067224,44.064514984474535
fuel,191.56465947242273,50.08511943631906
model,75.27994964028858,18.534905299891026
transmission,14.617676258993864,13.228751176022078
title_status,0.12739328537227265,0.9739528542425505
seller_type,0.0,0.0
drive,0.0,0.0
type,0.0,0.0
zip_prefix,0.0,0.0
city,0.0,0.0
state,0.0,0.0
cylinders,0.0,0.0
