feature,importance_mean,importance_std
year_num,898.5084487870478,92.74102710540393
vehicle_age,796.6550583702793,88.81765289938721
mileage_num,543.306754231813,63.19149922396104
log_mileage,516.2268494435624,54.6329970076337
city,405.5701997140899,35.78970012889044
fuel,254.69591755177933,25.760688124562368
make,244.88242246724923,82.9651644735865
cylinders,220.5132588684752,40.094497995943044
condition,215.37220889292587,32.579419017526234
type,159.94725860845176,26.084844534928138
seller_type,133.75045017170766,23.052904724664728
drive,99.20006165970884,16.648935830718695
model,56.524402158617946,12.416106850493462
zip_prefix,16.147334516552807,2.134586499326157
state,13.252898533177085,3.873237318702426
title_status,3.0316490059097606e-13,4.2873991405124956e-13
transmission,-9.339845750056975,5.637590154686375
