feature,importance_mean,importance_std
city,542.754220887011,106.67609457684704
year_num,465.3482690127027,57.57835676003421
vehicle_age,451.4188459421872,59.67923352780222
condition,421.0148824701743,58.55641089889264
mileage_num,309.53622014912423,30.24205886323218
seller_type,223.77278625118066,41.19529886989154
fuel,195.53065080412523,48.91818597075073
model,175.77511900739225,57.53001114468953
make,156.64340939014062,49.872960664973085
drive,138.02755010295044,46.08821764513104
cylinders,131.003485337094,27.914303433738773
log_mileage,120.49583397495981,15.317362585976648
type,54.63511877218819,17.884297623255044
zip_prefix,42.905039826575134,29.06120439728328
state,30.030158431830234,17.426274110952942
transmission,1.67403267330792,5.116794624173327
title_status,6.063298011819521e-13,5.909771877249395e-13
