feature,importance_mean,importance_std
vehicle_age,1552.434312379398,164.92342980809033
log_mileage,1430.2866925283554,265.5287489446197
seller_type,452.2817902259846,274.68872055163166
city,432.68874223183326,108.15280812038733
drive,426.4760551956726,163.20328802963752
year_num,401.9371051357855,66.25256482982341
type,317.25034393148275,105.0189553253548
fuel,304.0262976206269,85.02445010517829
cylinders,219.96491449810074,124.95501838877951
make,191.19345685305544,108.88735630489934
state,94.44810791213756,26.778371476033552
model,29.096633756014278,64.3218285472474
condition,21.418871525048143,249.18444715162767
transmission,4.1166161138782025,10.947342413867291
title_status,0.0,0.0
zip_prefix,0.0,0.0
mileage_num,0.0,0.0
