feature,importance_mean,importance_std
year_num,1999.962096862041,188.52031213251703
mileage_num,1759.1092521625033,140.7595787028486
model,573.5003046488797,123.60927789851719
condition,474.1408266194336,79.15637934376164
cylinders,397.87108559962786,61.5165716159846
type,364.4389985841705,87.10391351137565
seller_type,232.8358325219169,72.76783816331401
drive,182.98565562596485,41.393444543951546
fuel,165.88173998536857,53.59346026993114
city,112.47362187136875,30.15645338177534
state,29.124489125987385,8.315579547224504
make,24.20230540309925,14.236215064551985
transmission,0.0,0.0
title_status,0.0,0.0
zip_prefix,0.0,0.0
