feature,importance_mean,importance_std
year_num,812.6359090412682,94.22536118657851
vehicle_age,686.1269179095561,88.3730092797556
log_mileage,536.1123398628695,56.82327223224452
city,530.1177125461072,76.18471004873392
mileage_num,461.69820808400084,64.72235210557508
seller_type,293.20682736781185,75.70439933076953
cylinders,274.64240895084856,38.30754616570365
make,186.16579789842123,28.30452961637209
condition,153.11146790258965,32.43260477314433
type,145.2527466129005,29.43092234130845
fuel,104.44359469118211,19.205672492625254
model,87.41367119266951,33.76007966635616
drive,77.38807010420305,19.466598611702814
state,26.718808870798178,11.196192434875893
zip_prefix,23.671572551043784,18.858446423278927
title_status,8.48861721654733e-13,4.021936899462646e-13
transmission,-1.6028700791130481,2.9031956830198467
