feature,importance_mean,importance_std
vehicle_age,628.0791400243725,78.31466298981933
year_num,600.8726833478265,67.4556228257832
condition,522.4139089629823,78.43120747773861
city,451.03476480770865,101.55346983135436
mileage_num,402.58256409925224,51.9816039126392
make,296.19265478018286,64.02682383708544
fuel,198.90977504905092,48.90387589306996
cylinders,173.1982181705351,30.625268975531238
model,127.02031579309235,55.607950150323276
log_mileage,124.33644109123425,18.60183682685196
seller_type,99.50210899596269,13.197174015385222
drive,97.79049518707689,18.32066977159565
type,48.6743691392232,31.745616131853566
zip_prefix,42.974970896737126,41.73964744179737
state,25.66197292866224,25.44637994567282
title_status,-3.637978807091713e-13,4.455595886216867e-13
transmission,-5.539335996324917,7.602925321785576
