feature,importance_mean,importance_std
vehicle_age,1503.0841892181172,117.01213275522852
log_mileage,793.010084515924,110.33035477463524
city,212.99470901422322,60.14084892022769
cylinders,197.30657110084505,62.06755132655322
condition,187.80789540764482,30.2201835650619
make,167.12052352656795,38.110697953404376
fuel,134.58283399844,26.635484010190524
model,133.82452006484755,30.287030601131786
seller_type,114.99905854846301,38.212966541079076
drive,82.1801715557405,16.909230940823
type,69.58332853245808,16.276447262075166
state,7.299038743694352,3.37180451456152
zip_prefix,2.630800664104178,1.8792549765792457
title_status,3.637978807091713e-13,5.036553595296376e-13
transmission,-2.797418608224113,2.7151275251831866
