feature,importance_mean,importance_std
year_num,812.6359090412676,94.22536118657864
vehicle_age,686.1269179095553,88.37300927975556
log_mileage,536.1123398628686,56.82327223224449
city,530.1177125461062,76.18471004873396
mileage_num,461.69820808399993,64.72235210557503
seller_type,293.2068273678112,75.70439933076962
cylinders,274.64240895084754,38.30754616570359
make,186.1657978984205,28.30452961637231
condition,153.11146790258852,32.432604773144625
type,145.25274661289964,29.430922341308623
fuel,104.44359469118108,19.205672492625496
model,87.41367119266894,33.7600796663562
drive,77.38807010420227,19.46659861170258
state,26.718808870797268,11.19619243487599
zip_prefix,23.67157255104312,18.858446423278856
title_status,0.0,3.321005093949777e-13
transmission,-1.6028700791138968,2.903195683019777
