feature,importance_mean,importance_std
log_mileage,2776.300661246043,512.2674233693388
vehicle_age,2713.838909939933,245.45094986483775
seller_type,1092.8897708620432,376.8296859134261
condition,973.1274925386685,397.97334954067435
type,800.9502945566409,290.38656517966774
city,483.34877730637857,184.91494002018618
make,470.6332593763736,262.5629150708515
cylinders,462.3596019774095,188.890628488815
drive,387.76086131166943,332.9727121237327
fuel,273.08159127176685,116.24304822600317
year_num,203.3496176459183,27.69269178977957
model,24.866051357402345,132.16246850474135
state,18.838803685192456,45.11720577671765
transmission,3.2890067986930567,2.670291977013857
title_status,0.0,0.0
zip_prefix,0.0,0.0
mileage_num,0.0,0.0
