feature,importance_mean,importance_std
mileage_num,3003.185174677929,291.2404532547285
log_mileage,1214.585622934887,267.16620789479106
year_num,860.1457283770644,193.66353619529633
vehicle_age,719.011652052029,176.55094576879296
type,558.6236434427241,219.95180747627452
fuel,223.64889407191356,50.900553295033674
make,149.67355247813327,86.56844004152475
city,144.52935341755662,142.08324636208127
cylinders,85.76021768707378,72.53749836710479
condition,71.34799514091252,85.7484508620181
zip_prefix,48.055960155489934,45.918265874128394
model,32.30926164311768,29.531922819562684
state,24.16148688046548,18.7263938248809
drive,15.760247489471416,41.03198679336706
transmission,0.7864302907970341,51.53636658418313
title_status,-1.5793877551027131,0.5847964080065028
seller_type,-59.153779073535105,92.04008108569802
