feature,importance_mean,importance_std
year_num,812.6359090412676,94.22536118657872
vehicle_age,686.1269179095553,88.37300927975585
log_mileage,536.1123398628686,56.82327223224447
city,530.117712546106,76.18471004873396
mileage_num,461.69820808399965,64.72235210557523
seller_type,293.20682736781123,75.70439933076983
cylinders,274.6424089508478,38.307546165703506
make,186.1657978984203,28.30452961637226
condition,153.1114679025888,32.43260477314492
type,145.25274661289953,29.43092234130858
fuel,104.44359469118099,19.20567249262547
model,87.41367119266884,33.76007966635625
drive,77.38807010420206,19.466598611702654
state,26.718808870797268,11.196192434875893
zip_prefix,23.671572551042907,18.858446423279034
title_status,1.8189894035458566e-13,7.388769886016198e-13
transmission,-1.6028700791136847,2.9031956830197228
