feature,importance_mean,importance_std
year_num,647.7260691865031,92.14054572993561
vehicle_age,600.2631017007142,89.05134914633364
city,521.7177518906822,120.23855467554776
condition,465.30164782963186,66.66238870118076
mileage_num,308.5012461071258,66.96391302261829
log_mileage,212.60394789850088,59.0242357751549
fuel,182.01948180043726,54.63244759602938
cylinders,120.66537628658531,38.326551929103104
model,104.62675883996125,55.82299110648945
drive,95.11684922772413,23.88050801377256
seller_type,91.11680423794026,21.243603704035333
make,71.2770942241037,40.43654587162466
type,38.022463175116656,27.32227151959463
state,18.845389508443258,40.96094572403266
title_status,-6.97279271359245e-13,4.657307574154771e-13
transmission,-1.7273989333742066,10.055768151766648
zip_prefix,-190.08665109629567,77.59132515634941
