feature,importance_mean,importance_std
year_num,812.6359090412676,94.2253611865788
vehicle_age,686.1269179095557,88.37300927975569
log_mileage,536.1123398628689,56.82327223224455
city,530.1177125461068,76.18471004873409
mileage_num,461.6982080840002,64.72235210557494
seller_type,293.20682736781146,75.70439933076962
cylinders,274.64240895084805,38.30754616570356
make,186.16579789842086,28.304529616371994
condition,153.11146790258914,32.43260477314457
type,145.2527466129003,29.43092234130857
fuel,104.44359469118156,19.205672492625595
model,87.4136711926693,33.76007966635621
drive,77.38807010420275,19.466598611702622
state,26.718808870797783,11.196192434875556
zip_prefix,23.67157255104324,18.858446423278806
title_status,3.3348139065007366e-13,2.6079230844342203e-13
transmission,-1.602870079113442,2.9031956830198236
