feature,importance_mean,importance_std
city,1259.072903295049,123.47500140071853
vehicle_age,761.3728291618271,73.56617565384173
year_num,754.4399676146387,81.17169211993023
make,669.2023690927865,174.61006625418023
seller_type,586.1340491133265,103.78185620690293
condition,441.05873909698056,67.5167115909985
mileage_num,394.85508292145244,61.569236233249406
fuel,383.06120030702925,102.65460934620162
drive,252.42005445864,45.226755490260956
log_mileage,203.0787842366758,36.49831725895465
cylinders,143.40275776981997,35.18608361386704
type,112.89448485611086,16.120271495897644
state,68.01447169312223,12.298889649305458
model,66.26769929990999,11.30527546071704
zip_prefix,51.90130239385771,8.70250139498897
title_status,4.547473508864641e-13,1.6605025469748885e-13
transmission,-20.401480280250812,13.075926961915112
