feature,importance_mean,importance_std
year_num,812.6359090412684,94.22536118657857
vehicle_age,686.126917909556,88.37300927975568
log_mileage,536.1123398628692,56.82327223224481
city,530.1177125461072,76.18471004873408
mileage_num,461.6982080840007,64.72235210557498
seller_type,293.20682736781174,75.7043993307697
cylinders,274.64240895084885,38.30754616570375
make,186.16579789842118,28.30452961637209
condition,153.1114679025899,32.43260477314495
type,145.25274661290044,29.43092234130867
fuel,104.44359469118217,19.205672492625517
model,87.41367119266985,33.76007966635604
drive,77.38807010420305,19.466598611702835
state,26.71880887079842,11.196192434875927
zip_prefix,23.671572551044118,18.85844642327892
title_status,1.152026622245709e-12,5.956245241998506e-13
transmission,-1.6028700791130481,2.903195683019928
