feature,importance_mean,importance_std
city,700.7959924892431,137.16885161899722
year_num,563.7820198329457,90.0591814849474
vehicle_age,507.56182624501395,78.03718968740563
condition,478.67741018519735,126.35255078907593
log_mileage,233.6039766223856,37.96104533492246
mileage_num,183.95146909494582,63.78815862863998
fuel,172.6159515015174,52.25334800756634
seller_type,150.5524896437395,35.34128065147807
make,140.90183845125327,58.072305245130856
cylinders,102.99025636324032,28.20414240150057
drive,85.7756209135975,32.21538964060247
model,64.02184538029245,39.45466190897621
type,60.04460491305384,24.970853159597567
state,4.750994018629232,42.7121045821489
transmission,3.317897465243823,6.0346945183860035
title_status,-9.094947017729282e-13,5.987027076156513e-13
zip_prefix,-186.8160111798758,76.13102921733197
