feature,importance_mean,importance_std
vehicle_age,2067.656543511381,286.17656932808524
log_mileage,2007.4163163342066,250.17663374891123
cylinders,827.691306795854,132.29914014306863
make,418.58918377159074,106.55178546181477
city,407.82719703259335,131.5720866830357
seller_type,360.71369181758297,157.80243288591902
model,243.16814993397938,64.90973055324984
fuel,220.89576745513108,92.50467968441
condition,203.4765793931176,100.94536186255067
type,201.46307339622473,110.38652256410151
drive,159.15854217338685,64.26497161074771
state,138.06888442026914,55.22309579808933
year_num,57.41889625735442,48.297222508357414
zip_prefix,0.0,0.0
title_status,0.0,0.0
mileage_num,0.0,0.0
transmission,-1.624831610715743,1.4761108165695898
