feature,importance_mean,importance_std
vehicle_age,1226.66759873533,173.84422714197422
log_mileage,1127.3088935470305,196.03099524030162
cylinders,316.7979958366162,115.65211063986754
city,312.15599679293854,70.69709888908288
seller_type,264.0209474604033,77.2265945459027
condition,219.85098767813014,170.39975950238372
type,184.31817187432523,86.5989846527935
drive,131.70290550138526,70.04915073596524
fuel,106.54792344251449,49.43652715541494
model,61.77868546980402,52.26205845294898
make,44.825145859025604,76.93875432669749
mileage_num,0.0,0.0
title_status,0.0,0.0
zip_prefix,0.0,0.0
transmission,-0.24793354993829173,20.289696665240353
state,-11.564069529519413,31.804842794177155
year_num,-37.38149513161503,26.19077016417801
