run_id,model,target_strategy,trial_id,params,val_mae,val_rmse,val_mape,val_bias,val_composite
2026040522,RandomForestRegressor,log,6,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 100}",5622.305746968744,10169.111586946623,113.9190663711772,-679.8346534593339,5729.308684351231
2026040522,RandomForestRegressor,log,7,"{""max_depth"": 10, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",4818.143264085182,9577.219220792605,88.23605225784559,-1347.0209309870907,5003.728823855614
2026040522,RandomForestRegressor,log,8,"{""max_depth"": 10, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 100}",5456.7877515091695,10025.581556694795,111.59046582368421,-668.4303723999175,5562.063350088896
2026040522,RandomForestRegressor,log,9,"{""max_depth"": 10, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",4867.274619526409,9555.915066343818,89.47626160920727,-1334.5911558941314,5051.315345899564
2026040522,RandomForestRegressor,log,10,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 100}",6086.915119651593,10411.204607010408,141.39179298517197,-395.0793183767202,6160.352649374326
2026040522,RandomForestRegressor,log,11,"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 100}",5075.730560127215,9864.29469123525,92.36265148279405,-1429.4897454368274,5271.930066307723
2026040522,RandomForestRegressor,log,12,"{""max_depth"": 30, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",4829.940148886416,9566.916329340933,88.91537087948804,-1250.0795537697866,5003.866986162143
2026040522,RandomForestRegressor,log,13,"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 100}",5419.143610658023,9993.529534525896,110.61762061293554,-689.7038805969539,5526.891900165972
2026040522,RandomForestRegressor,log,14,"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 400}",4932.1551431213775,9671.7089686431,91.8408905588729,-1206.2559724301868,5101.085132234607
2026040522,RandomForestRegressor,log,15,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 100}",6086.915119651593,10411.204607010408,141.39179298517195,-395.07931837672146,6160.352649374327
2026040522,RandomForestRegressor,log,16,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 100}",5058.002435451763,9858.984268037435,92.23687619939359,-1434.4513965252809,5254.78406370489
